iter	Passed	Remaining
0	84	84202
1	104	52284
2	124	41287
3	145	36125
4	165	32970
5	185	30732
6	206	29237
7	229	28471
8	255	28156
9	277	27441
10	299	26890
11	322	26537
12	344	26129
13	365	25770
14	397	26106
15	420	25844
16	440	25450
17	462	25238
18	484	24997
19	505	24783
20	528	24619
21	547	24349
22	567	24090
23	585	23818
24	607	23708
25	628	23545
26	648	23378
27	667	23163
28	686	22996
29	705	22822
30	725	22677
31	747	22623
32	789	23120
33	822	23365
34	844	23293
35	864	23159
36	883	22999
37	902	22836
38	920	22689
39	940	22569
40	960	22459
41	980	22356
42	1003	22334
43	1027	22333
44	1048	22255
45	1070	22196
46	1094	22195
47	1123	22289
48	1153	22395
49	1175	22343
50	1199	22311
51	1226	22364
52	1255	22434
53	1287	22554
54	1328	22826
55	1353	22821
56	1376	22778
57	1396	22688
58	1417	22604
59	1436	22507
60	1458	22445
61	1483	22440
62	1506	22401
63	1528	22359
64	1550	22301
65	1581	22381
66	1603	22324
67	1625	22281
68	1644	22193
69	1664	22111
70	1684	22039
71	1703	21957
72	1723	21880
73	1742	21810
74	1774	21885
75	1801	21901
76	1830	21944
77	1858	21971
78	1893	22075
79	1917	22053
80	1938	21995
81	1958	21923
82	1978	21857
83	2000	21811
84	2018	21726
85	2038	21663
86	2056	21586
87	2086	21620
88	2130	21809
89	2155	21796
90	2177	21746
91	2199	21710
92	2231	21766
93	2251	21703
94	2272	21648
95	2293	21597
96	2317	21576
97	2339	21529
98	2361	21488
99	2381	21432
100	2402	21387
101	2424	21346
102	2445	21296
103	2469	21272
104	2493	21252
105	2512	21192
106	2534	21155
107	2552	21085
108	2573	21033
109	2591	20966
110	2610	20903
111	2629	20846
112	2651	20810
113	2672	20771
114	2700	20779
115	2731	20815
116	2754	20788
117	2788	20842
118	2824	20910
119	2858	20962
120	2897	21047
121	2937	21143
122	2962	21126
123	2987	21103
124	3010	21071
125	3033	21039
126	3055	21000
127	3084	21014
128	3106	20977
129	3130	20947
130	3152	20912
131	3177	20897
132	3198	20848
133	3217	20793
134	3244	20788
135	3273	20794
136	3313	20871
137	3352	20940
138	3400	21062
139	3428	21062
140	3455	21048
141	3485	21061
142	3512	21049
143	3539	21041
144	3567	21037
145	3596	21036
146	3626	21045
147	3653	21035
148	3680	21021
149	3709	21022
150	3738	21019
151	3767	21018
152	3852	21328
153	3890	21372
154	3938	21472
155	3979	21530
156	4031	21646
157	4082	21757
158	4155	21980
159	4193	22017
160	4241	22105
161	4288	22182
162	4318	22177
163	4373	22292
164	4436	22449
165	4493	22577
166	4544	22666
167	4643	22997
168	4690	23061
169	4732	23103
170	4773	23139
171	4808	23146
172	4847	23173
173	4881	23171
174	4913	23163
175	4950	23176
176	4987	23192
177	5032	23241
178	5054	23184
179	5095	23211
180	5151	23312
181	5176	23263
182	5206	23243
183	5228	23187
184	5280	23264
185	5306	23223
186	5329	23170
187	5364	23170
188	5383	23102
189	5402	23032
190	5422	22967
191	5442	22902
192	5480	22915
193	5501	22858
194	5522	22797
195	5543	22739
196	5563	22676
197	5583	22615
198	5604	22559
199	5627	22510
200	5648	22452
201	5667	22389
202	5689	22337
203	5709	22277
204	5729	22219
205	5750	22162
206	5770	22107
207	5795	22068
208	5816	22014
209	5834	21950
210	5854	21893
211	5876	21841
212	5894	21778
213	5914	21722
214	5934	21667
215	5954	21612
216	5977	21567
217	5999	21520
218	6019	21466
219	6038	21410
220	6057	21351
221	6075	21291
222	6093	21231
223	6113	21178
224	6133	21125
225	6152	21070
226	6172	21020
227	6196	20981
228	6215	20927
229	6235	20874
230	6254	20822
231	6275	20773
232	6294	20721
233	6313	20667
234	6333	20617
235	6352	20564
236	6372	20514
237	6393	20469
238	6412	20419
239	6431	20367
240	6449	20312
241	6468	20260
242	6488	20213
243	6506	20158
244	6525	20110
245	6544	20058
246	6562	20007
247	6582	19959
248	6601	19911
249	6622	19867
250	6642	19820
251	6660	19770
252	6681	19726
253	6700	19678
254	6719	19632
255	6742	19594
256	6760	19545
257	6780	19500
258	6800	19454
259	6819	19408
260	6838	19363
261	6858	19318
262	6877	19273
263	6895	19224
264	6915	19179
265	6934	19134
266	6953	19088
267	6975	19052
268	6997	19016
269	7023	18990
270	7064	19002
271	7083	18959
272	7111	18938
273	7136	18909
274	7166	18894
275	7228	18961
276	7255	18938
277	7295	18948
278	7339	18967
279	7359	18925
280	7380	18885
281	7399	18840
282	7420	18799
283	7439	18754
284	7469	18738
285	7499	18723
286	7537	18725
287	7560	18691
288	7580	18649
289	7602	18612
290	7631	18594
291	7654	18560
292	7679	18530
293	7709	18514
294	7732	18479
295	7753	18440
296	7774	18401
297	7796	18366
298	7819	18333
299	7849	18316
300	7878	18295
301	7899	18257
302	7923	18225
303	7942	18185
304	7962	18144
305	7982	18104
306	8002	18064
307	8021	18022
308	8039	17979
309	8058	17936
310	8078	17896
311	8098	17858
312	8117	17816
313	8137	17778
314	8156	17738
315	8175	17696
316	8196	17659
317	8219	17628
318	8241	17592
319	8260	17553
320	8280	17515
321	8299	17475
322	8318	17436
323	8337	17395
324	8358	17359
325	8386	17338
326	8405	17298
327	8424	17259
328	8461	17257
329	8486	17229
330	8505	17190
331	8527	17157
332	8547	17120
333	8567	17083
334	8585	17043
335	8603	17002
336	8623	16964
337	8648	16938
338	8678	16922
339	8705	16898
340	8727	16865
341	8747	16830
342	8766	16791
343	8788	16759
344	8820	16745
345	8842	16713
346	8865	16683
347	8897	16669
348	8925	16648
349	8953	16627
350	8974	16594
351	8997	16563
352	9017	16527
353	9037	16491
354	9056	16454
355	9076	16419
356	9096	16383
357	9115	16347
358	9137	16315
359	9163	16290
360	9198	16281
361	9222	16254
362	9250	16232
363	9278	16211
364	9297	16175
365	9316	16138
366	9336	16102
367	9354	16065
368	9373	16028
369	9396	15999
370	9415	15963
371	9437	15932
372	9457	15897
373	9475	15860
374	9493	15822
375	9515	15791
376	9539	15764
377	9566	15740
378	9591	15715
379	9614	15687
380	9650	15678
381	9672	15648
382	9696	15620
383	9716	15587
384	9737	15555
385	9759	15524
386	9779	15489
387	9797	15454
388	9816	15418
389	9836	15384
390	9855	15350
391	9875	15316
392	9894	15282
393	9912	15246
394	9931	15211
395	9951	15178
396	9971	15145
397	9991	15112
398	10011	15079
399	10034	15051
400	10055	15021
401	10075	14988
402	10095	14955
403	10115	14922
404	10134	14889
405	10155	14857
406	10173	14823
407	10191	14787
408	10211	14754
409	10232	14725
410	10253	14694
411	10273	14661
412	10292	14628
413	10316	14602
414	10349	14589
415	10372	14561
416	10395	14533
417	10414	14501
418	10434	14468
419	10453	14436
420	10473	14403
421	10494	14374
422	10516	14345
423	10546	14327
424	10574	14306
425	10599	14282
426	10620	14251
427	10642	14222
428	10662	14191
429	10684	14163
430	10711	14141
431	10731	14109
432	10751	14079
433	10770	14046
434	10789	14013
435	10810	13984
436	10830	13953
437	10849	13920
438	10868	13889
439	10888	13858
440	10908	13826
441	10928	13797
442	10949	13767
443	10969	13735
444	10987	13703
445	11007	13672
446	11026	13641
447	11046	13610
448	11065	13579
449	11088	13552
450	11113	13528
451	11136	13501
452	11160	13475
453	11184	13451
454	11234	13456
